name,rating,rank,rating_o,rating_d,rank_o,rank_d,season_week,ranking_id,season,week
San Francisco 49ers,10.125388484290925,1,4.952105510901824,5.173282973389099,2,4,1971.008,25,1971,8.000000000038199
St. Louis Cardinals,-1.263017761681415,15,-1.9603243914031032,0.6973066297216878,19,12,1971.008,25,1971,8.000000000038199
Washington Commanders,2.118942467145635,12,0.2283744136713431,1.890568053474292,13,9,1971.008,25,1971,8.000000000038199
Atlanta Falcons,1.6899641700074144,13,1.5620222454606023,0.127941924546812,9,14,1971.009,26,1971,9.000000000014552
Baltimore Colts,8.412586648650732,3,2.2540614051432746,6.158525243507457,7,2,1971.009,26,1971,9.000000000014552
Buffalo Bills,-14.305548088396668,26,-3.031989803170537,-11.27355828522613,20,26,1971.009,26,1971,9.000000000014552
Chicago Bears,5.52147065097808,8,1.5540636106565864,3.967407040321494,11,5,1971.009,26,1971,9.000000000014552
Cincinnati Bengals,0.5225125071018663,14,-1.009610768421163,1.5321232755230292,16,10,1971.009,26,1971,9.000000000014552
Cleveland Browns,-4.96383363573224,21,-3.89488831248866,-1.0689453232435804,24,16,1971.009,26,1971,9.000000000014552
Dallas Cowboys,6.156562356073822,7,3.8045106034409057,2.3520517526329163,5,8,1971.009,26,1971,9.000000000014552
Denver Broncos,-4.622803324277242,20,-3.734106265308661,-0.8886970589685805,23,15,1971.009,26,1971,9.000000000014552
Detroit Lions,6.214348151930227,6,4.938698339217454,1.2756498127127731,2,11,1971.009,26,1971,9.000000000014552
Green Bay Packers,1.7572007392935691,12,1.5553317701922875,0.2018689691012817,10,13,1971.009,26,1971,9.000000000014552
Houston Oilers,-11.760150199923329,25,-5.378499234203175,-6.381650965720154,25,24,1971.009,26,1971,9.000000000014552
Kansas City Chiefs,2.792727744409495,11,-1.0397560508471722,3.832483795256668,17,6,1971.009,26,1971,9.000000000014552
Los Angeles Rams,9.68587646516008,1,4.463698684440243,5.222177780719837,3,4,1971.009,26,1971,9.000000000014552
Miami Dolphins,8.43874936287661,2,3.016415431503372,5.422333931373238,6,3,1971.009,26,1971,9.000000000014552
Minnesota Vikings,7.401395756364707,5,-3.249825140056229,10.651220896420936,21,1,1971.009,26,1971,9.000000000014552
New England Patriots,-10.764806713450172,24,-2.7664293698274087,-7.998377343622764,19,25,1971.009,26,1971,9.000000000014552
New Orleans Saints,-3.281724946217444,18,0.0862870011470204,-3.3680119473644643,14,21,1971.009,26,1971,9.000000000014552
New York Giants,-2.9994779713674737,17,1.1510892627464648,-4.150567234113938,12,22,1971.009,26,1971,9.000000000014552
New York Jets,-5.178582018657987,22,-3.729085879565504,-1.449496139092483,22,17,1971.009,26,1971,9.000000000014552
Oakland Raiders,3.894117032174479,9,5.458910689934899,-1.5647936577604202,1,18,1971.009,26,1971,9.000000000014552
Philadelphia Eagles,-7.602989971883528,23,-5.958493326731513,-1.6444966451520155,26,19,1971.009,26,1971,9.000000000014552
Pittsburgh Steelers,-2.3480529582045664,16,2.038689236436876,-4.386742194641442,8,23,1971.009,26,1971,9.000000000014552
San Diego Chargers,-3.589684579610759,19,-0.4911764103986125,-3.0985081692121463,15,20,1971.009,26,1971,9.000000000014552
San Francisco 49ers,7.924816247183094,4,4.157956136392388,3.766860110790707,4,7,1971.009,26,1971,9.000000000014552
St. Louis Cardinals,-1.9293722551721664,15,-2.38346723819002,0.454094983017854,18,12,1971.009,26,1971,9.000000000014552
Washington Commanders,2.934698830689415,10,0.6255933767959738,2.309105453893441,13,9,1971.009,26,1971,9.000000000014552
Atlanta Falcons,2.379084953972291,11,2.5994133098967898,-0.2203283559244987,8,13,1971.01,27,1971,9.999999999990905
Baltimore Colts,8.514314242536683,3,2.7913510269976363,5.722963215539046,6,3,1971.01,27,1971,9.999999999990905
Buffalo Bills,-15.503579528158804,26,-4.559405977895218,-10.944173550263583,24,26,1971.01,27,1971,9.999999999990905
Chicago Bears,2.819549462497511,10,0.1276736251322394,2.691875837365272,13,10,1971.01,27,1971,9.999999999990905
Cincinnati Bengals,0.7741460057047335,14,-0.9305006318705548,1.7046466375752884,16,11,1971.01,27,1971,9.999999999990905
Cleveland Browns,-3.463698963810423,18,-3.3794555461848583,-0.0842434176255644,22,12,1971.01,27,1971,9.999999999990905
Dallas Cowboys,6.73113577236944,7,3.015751817091916,3.715383955277524,5,7,1971.01,27,1971,9.999999999990905
Denver Broncos,-4.533333947477851,20,-3.67568515996372,-0.8576487875141305,23,16,1971.01,27,1971,9.999999999990905
Detroit Lions,8.47442552916179,4,5.5932736810532,2.8811518481085905,2,9,1971.01,27,1971,9.999999999990905
Green Bay Packers,1.6617952942362395,12,2.304299950447432,-0.6425046562111921,9,15,1971.01,27,1971,9.999999999990905
Houston Oilers,-11.36931377751655,24,-4.791094080299569,-6.578219697216982,26,24,1971.01,27,1971,9.999999999990905
Kansas City Chiefs,3.90975766092781,8,0.0974118306169944,3.812345830310816,14,6,1971.01,27,1971,9.999999999990905
Los Angeles Rams,10.477149763378506,1,4.14317495536371,6.333974808014796,3,2,1971.01,27,1971,9.999999999990905
Miami Dolphins,8.641337645837796,2,3.540208483819079,5.101129162018717,4,4,1971.01,27,1971,9.999999999990905
Minnesota Vikings,7.5384925185052944,5,-3.039166405392838,10.577658923898133,20,1,1971.01,27,1971,9.999999999990905
New England Patriots,-11.513029077273584,25,-3.021159040233384,-8.491870037040199,19,25,1971.01,27,1971,9.999999999990905
New Orleans Saints,-4.042938200257962,19,0.4375600290067893,-4.480498229264751,12,23,1971.01,27,1971,9.999999999990905
New York Giants,-3.229061690940736,17,-0.2373848531777116,-2.9916768377630243,15,20,1971.01,27,1971,9.999999999990905
New York Jets,-4.962322657021882,21,-4.731162286903176,-0.2311603701187055,25,14,1971.01,27,1971,9.999999999990905
Oakland Raiders,3.6134145551182346,9,6.029337382178875,-2.415922827060641,1,18,1971.01,27,1971,9.999999999990905
Philadelphia Eagles,-5.565156863416679,23,-3.2076949309900185,-2.35746193242666,21,17,1971.01,27,1971,9.999999999990905
Pittsburgh Steelers,-1.6902610404301168,15,1.263385941281249,-2.953646981711365,10,19,1971.01,27,1971,9.999999999990905
San Diego Chargers,-2.947791595335804,16,0.9556092743785676,-3.903400869714371,11,22,1971.01,27,1971,9.999999999990905
San Francisco 49ers,6.947841031202433,6,2.605207196264474,4.342633834937959,7,5,1971.01,27,1971,9.999999999990905
St. Louis Cardinals,-5.040247927158975,22,-1.99681236030096,-3.043435566858016,18,21,1971.01,27,1971,9.999999999990905
Washington Commanders,1.3782908333505732,13,-1.9341372368872864,3.31242807023786,17,8,1971.01,27,1971,9.999999999990905
Atlanta Falcons,1.3016078384395895,12,2.1420306608573334,-0.8404228224177439,8,14,1971.011,28,1971,10.999999999967258
Baltimore Colts,10.924540292937303,2,4.121197556829811,6.803342736107494,4,2,1971.011,28,1971,10.999999999967258
Buffalo Bills,-13.743892648932588,26,-3.939862102547687,-9.8040305463849,25,26,1971.011,28,1971,10.999999999967258
Chicago Bears,0.4268897003006697,13,-1.3320587256172671,1.758948425917937,15,11,1971.011,28,1971,10.999999999967258
